,"Jan 16","Feb 16","Mar 16","Apr 16","May 16","Jun 16","Jul 16","Aug 16","Sep 16","Oct 16","Nov 16","Dec 16","Jan 17","Feb 17","Mar 17","Apr 17","May 17","Jun 17","Jul 17","Aug 17","Sep 17","Oct 17","Nov 17","Dec 17","Jan 18","Feb 18","Mar 18","Apr 18","May 18","Jun 18","Jul 18","Aug 18","Sep 18","Oct 18","Nov 18","Dec 18","Jan 19","Feb 19","Mar 19","Apr 19","May 19","Jun 19","Jul 19","Aug 19","Sep 19","Oct 19","Nov 19","Dec 19","Jan 20","Feb 20","Mar 20","Apr 20","May 20","TOTAL"
"Ordinary Income/Expense","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Income","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Total 7800 · FRANCHISE OPERATING COST",0.00,13435.28,11621.74,16880.33,19465.89,28562.38,39568.50,35214.62,34741.93,25000.81,23363.55,37946.14,0.00,13730.98,14446.71,20472.61,19135.11,28908.56,38560.23,33879.43,29029.28,19875.38,18683.36,36497.49,0.72,14069.13,12856.64,20428.16,24392.35,29605.84,38118.24,33973.76,34929.12,20462.94,25367.29,41373.16,0.00,14518.21,18682.64,23214.33,25535.02,31528.49,44043.07,38268.74,39649.35,23923.39,25967.28,44970.96,23063.97,14943.11,17857.25,24638.58,18251.77,1283653.82
"7900 · FINANCE COST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"7910 · Interest-Other",0.00,-1567.66,158.73,0.00,0.00,0.00,0.00,0.00,30.00,13114.22,0.00,10926.12,-1068.60,0.00,0.00,105.00,1914.93,-1025.31,373.19,443.56,363.92,4282.20,10487.06,576.82,-3210.45,279.24,359.72,393.69,443.95,-7781.14,4881.69,349.87,528.40,1649.52,703.55,2860.26,349.87,349.87,562.49,-8451.12,359.87,488.43,341.02,-294.02,10830.54,1324.11,563.01,2607.24,349.87,349.87,425.06,0.00,0.00,50728.59
"7915 · Interest-Line of Credit",1439.02,749.01,684.73,359.15,403.07,347.35,342.40,318.24,282.45,291.76,254.98,2997.85,266.76,417.90,689.34,746.33,814.03,748.90,799.87,801.85,711.66,628.93,513.96,430.40,545.11,700.61,883.21,994.81,962.09,777.03,796.51,623.54,550.06,535.50,517.48,541.01,552.74,514.58,569.48,538.77,555.14,551.68,537.26,411.61,340.97,259.50,205.63,207.75,0.00,0.00,0.00,0.00,0.00,29712.01
"7920 · Bad Debt Expense",-6.44,56.72,0.06,8.09,5.20,11.12,11.09,0.16,13.95,12.77,24.79,42414.87,0.17,11.60,-3000.28,1038.70,0.89,13.43,929.64,3.49,0.11,15.40,76.12,52.74,102.61,22.79,1.12,2.25,20.60,374.20,31.24,8.87,2.20,149.20,0.81,2.33,1188.36,933.59,0.42,544.56,0.37,76.65,11.73,1.06,6.17,0.25,92.12,0.26,250.47,941.23,0.61,0.20,0.27,46460.93
"7930 · Credit Card Processing Fees",4759.78,3060.71,3061.28,3657.43,4050.05,6772.55,9974.40,8346.43,8316.19,5329.49,5073.81,4627.59,4494.96,3517.18,3254.51,4475.42,4359.64,6659.03,9126.90,8472.66,7359.57,3894.33,4162.12,3581.57,4428.34,3587.07,2951.12,4905.95,5110.88,6990.28,8522.49,8765.11,8367.32,4901.60,5510.60,4937.50,4228.75,3740.19,4697.91,4996.16,6217.86,7925.56,11707.62,10335.01,9568.97,6250.17,6050.25,4899.19,6189.46,3887.29,3697.23,5622.40,4645.30,304025.18
"7940 · Bank Fees",506.85,0.00,82.48,347.40,7.50,29.50,10.00,22.00,84.00,45.00,7.00,22.00,10.00,223.11,11.25,202.00,228.85,10.13,10.00,12.00,36.00,271.99,0.00,0.13,235.65,19.50,47.00,24.00,7.50,7.50,0.00,0.00,214.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216.26,12.00,0.00,0.00,12.00,0.00,0.00,0.00,-81.82,0.00,212.15,3105.90
"7950 · Over/Underpayment Adjustment",0.00,0.00,583.51,0.00,0.00,0.00,0.00,0.00,-0.51,-8.60,-0.04,-1.11,-0.15,-10.29,2.08,-0.06,-1.31,-1.94,-0.87,-28.45,-0.18,8.80,-3.89,2815.58,-0.19,-21.65,-0.62,-1.03,0.12,95.97,1200.18,-1.59,-0.82,-0.71,-5.18,-28.18,-0.94,-0.81,-0.50,16.77,-6491.95,-1.34,-0.75,-111.52,-0.83,-1.01,-0.02,1617.55,-0.51,103.92,98.55,-2572.54,-372.94,-3130.00
"7900 · FINANCE COST - Other",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.40,100.00,12.00,0.00,7.50,0.00,0.00,69.00,13.45,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,258.35
"Total 7900 · FINANCE COST",6699.21,2298.78,4570.79,4372.07,4465.82,7160.52,10337.89,8686.83,8726.08,18784.64,5360.54,60987.32,3703.14,4159.50,956.90,6567.39,7317.03,6404.24,11238.73,9705.11,8471.08,9101.65,15235.37,7457.24,2101.07,4587.56,4241.55,6319.67,6545.14,485.24,15532.11,9757.80,9662.13,7242.61,6727.26,8312.92,6387.78,5550.87,5829.80,-2354.86,676.29,9040.98,12813.14,10354.14,20745.82,7833.02,6922.99,9331.99,6789.29,5282.31,4139.63,3050.06,4484.78,431160.96
"8000 · SUPPORT STAFF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"8110 · CSR Wages",2057.14,2060.00,3100.00,2660.00,-1485.00,3300.00,2640.00,3036.00,660.00,3270.00,6765.00,7071.43,4448.57,4440.00,7050.00,5640.00,7165.00,9892.50,9166.84,9702.50,7405.00,6997.50,10800.00,8945.00,4905.00,6350.00,5070.00,1210.00,1689.16,0.00,120.00,1715.00,2580.00,2760.00,3420.00,3805.71,2674.29,2820.00,4007.50,3085.00,2860.00,2420.00,2530.00,3475.00,2820.00,3360.00,2400.00,2460.00,3000.00,2460.00,2520.00,3000.00,2475.00,208779.14
"8120 · CSR Wages - Commiss/Bonus",2887.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,378.00,621.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,4136.66
"8130 · CSR Wages - OT",0.00,0.00,0.00,0.00,382.51,1324.14,909.56,1218.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3835.16
"8210 · Manager Wages",8591.88,6961.52,8701.90,6961.52,6961.52,8701.90,6961.52,7971.16,7000.00,7000.00,8750.00,8500.00,5500.00,7000.00,8750.00,7000.00,7000.00,8750.00,6230.00,4845.24,6979.32,7152.32,8940.40,8383.08,5655.00,7580.00,11090.40,10810.80,13513.50,10810.80,10810.80,13513.50,7230.80,7230.80,9038.50,9296.74,6972.56,8746.20,7430.80,7430.80,9511.90,7430.80,7430.80,9496.20,7846.20,15129.26,11538.52,11538.52,14423.15,11711.62,15230.88,16269.36,13288.58,477601.07
"8220 · Manager Wages - Commiss/Bonus",409.75,0.00,454.40,100.00,0.00,427.70,350.00,0.00,620.10,1701.94,228.90,685.50,0.00,150.00,675.50,369.20,150.00,206.50,0.00,0.00,0.00,169.50,200.00,200.00,30.00,355.10,250.00,200.00,0.00,774.10,200.00,100.00,300.00,214.75,665.40,648.00,250.00,250.00,756.20,286.30,0.00,232.45,255.40,0.00,0.00,480.60,0.00,288.60,932.85,603.70,0.00,709.85,400.00,16282.29
"8310 · Office Staff Wages",1328.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1328.57
"8410 · Sales Staff Wages",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20559.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20559.35
"8510 · IHC Wages",1300.00,0.00,0.00,625.00,2500.00,4610.00,4700.00,3452.50,2090.00,2200.00,2750.00,3029.73,1480.27,2200.00,2530.00,2200.00,2255.00,2640.00,2200.00,1100.00,0.00,0.00,0.00,0.00,0.00,4228.86,7048.10,5738.48,7173.10,5738.48,7934.48,7173.10,5738.48,5793.48,7063.10,7496.14,5305.44,5793.48,5793.48,5848.48,7173.10,5763.48,5838.48,7355.60,5550.98,7528.10,5953.48,5838.48,7298.10,5953.48,5838.48,7298.10,5838.48,220957.52
"8520 · IHC Wages - Commiss/Bonus",0.00,0.00,0.00,0.00,0.00,1708.92,1819.64,1796.29,1098.18,1754.20,1829.80,1453.76,660.84,1011.90,1573.62,1013.56,1289.48,2065.01,2231.64,811.84,0.00,0.00,0.00,0.00,0.00,743.57,1046.12,1725.51,1767.57,1842.45,3503.00,3412.19,2625.48,2846.58,2268.86,1533.72,2184.18,1829.79,1739.94,4874.37,2240.41,3465.24,3645.76,3354.79,1587.74,2740.03,1928.44,1643.74,2552.14,1216.78,1743.24,2129.47,1343.10,85652.89
"8530 · IHC Wages - OT",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,225.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,225.00
"8610 · Allocated Support Staff Expense",40740.18,22286.96,32586.14,25131.45,11446.29,37055.70,29218.18,37701.18,19150.88,30091.36,26491.21,32308.88,18809.53,16463.07,27511.89,0.00,0.00,35103.65,25329.62,0.00,29314.31,18985.11,20433.84,24834.87,23620.23,20649.97,22254.76,20439.09,20876.49,25422.93,20927.59,21062.82,25884.77,18460.91,20867.81,24231.47,23889.25,23116.80,22305.69,23013.04,26045.02,31822.02,38256.77,32239.37,40056.51,25904.33,31772.20,24302.06,25618.46,28099.02,17756.23,27080.22,30279.88,1297250.01
"8800 · Benefits",701.92,111.98,602.87,377.15,370.63,334.75,207.29,-218.92,-140.37,101.34,127.86,101.94,90.69,90.69,43.56,90.69,90.69,43.56,137.82,279.21,-583.42,0.00,0.00,752.79,125.38,65.76,22.92,-333.24,-123.57,-40.26,-40.26,-123.57,-40.26,-333.24,-416.55,226.50,-495.96,-439.12,-439.12,-345.07,-392.15,-313.72,-313.72,-423.50,-313.72,-392.15,-313.72,-313.72,-556.55,-478.12,-478.12,-476.33,-316.36,-4096.82
"8801 · Healthcare Benefits","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"8801.1 · Medical Insurance",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1014.32,507.16,760.74,760.74,507.16,507.16,507.16,507.16,507.16,507.16,507.16,507.16,820.65,0.00,820.65,1094.20,547.10,10382.84
"8801.2 · Vision/Dental/Life Insurance",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.68,64.68,64.68,887.80,-25.30,70.98,64.68,64.68,64.68,71.73,70.98,61.10,0.00,286.87,0.00,286.87,160.44,80.22,2339.77
"8801 · Healthcare Benefits - Other",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,507.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,507.16
"Total 8801 · Healthcare Benefits",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,571.84,1079.00,571.84,1648.54,735.44,578.14,571.84,571.84,571.84,578.89,578.14,568.26,507.16,1107.52,0.00,1107.52,1254.64,627.32,13229.77
"8810 · Payroll Taxes",785.39,832.25,1093.87,922.68,1118.33,1746.58,1479.32,1457.12,955.18,1367.68,1764.26,1782.83,1069.59,1263.79,1676.44,1297.24,1439.21,1884.79,1514.78,1318.84,1154.36,1123.43,1585.23,1363.82,1188.29,1563.10,1925.40,1505.12,1817.81,1450.18,1738.02,1964.00,1404.85,1434.07,1688.04,1532.61,1620.54,1571.70,1451.35,1596.86,1666.24,1463.62,1486.41,1781.30,1339.76,2185.16,1663.21,1663.33,2297.69,1732.03,1946.29,2251.77,1784.18,80709.94
"8830 · Workers Comp Insurance",134.81,25.69,55.29,0.00,-548.39,24.62,43.42,39.72,29.48,19.68,162.30,18.86,69.00,43.46,42.00,40.72,32.06,33.86,44.74,44.74,29.97,16.76,16.76,88.60,0.00,165.54,144.84,144.84,144.84,144.84,144.84,144.84,144.84,144.84,144.84,144.84,144.84,144.84,144.84,144.84,144.84,144.84,144.84,144.84,144.84,144.84,144.84,144.84,144.84,144.84,144.84,144.84,144.84,4584.37
"Total 8000 · SUPPORT STAFF",58937.30,32278.40,46594.47,36777.80,20745.89,59234.31,48328.93,56454.00,31463.45,47506.20,48869.33,54952.93,32128.49,32662.91,49853.01,17651.41,39980.79,60619.87,46855.44,18102.37,44299.54,34444.62,41976.23,44568.16,35523.90,41701.90,48852.54,41440.60,46858.90,46143.52,45563.47,48961.88,45868.96,38552.19,44740.00,49487.57,43624.14,44783.53,45460.22,46670.06,49827.50,53000.57,59846.58,57995.44,59611.20,57658.31,55655.23,48323.01,56818.20,51443.35,45809.36,59661.92,55865.02,2431034.92
"8900 · OWNERS COMPENSATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"8950 · Benefits",0.00,0.00,635.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,635.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,635.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,635.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,635.00,0.00,0.00,3175.00
"8960 · Allocated Owners Other Expenses",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6666.47,6325.36,8207.31,0.00,6625.50,8932.56,6728.69,0.00,8269.69,5697.37,5862.49,7180.93,6897.95,6326.62,7035.53,6691.85,7032.79,7965.63,6835.31,6846.61,8099.72,6194.43,7056.00,8867.11,7351.94,7854.25,6719.75,6795.99,7170.40,8600.84,7792.52,7234.58,10076.32,6719.55,8674.96,6741.50,7222.49,8316.01,4149.16,5338.84,6207.22,279312.24
"Total 8900 · OWNERS COMPENSATION",0.00,0.00,635.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6666.47,6325.36,8842.31,0.00,6625.50,8932.56,6728.69,0.00,8269.69,5697.37,5862.49,7180.93,6897.95,6326.62,7670.53,6691.85,7032.79,7965.63,6835.31,6846.61,8099.72,6194.43,7056.00,8867.11,7351.94,7854.25,7354.75,6795.99,7170.40,8600.84,7792.52,7234.58,10076.32,6719.55,8674.96,6741.50,7222.49,8316.01,4784.16,5338.84,6207.22,282487.24
"Total Expense",100234.00,73423.42,91551.28,89251.14,79086.52,120898.64,150096.96,148342.90,127459.36,115056.82,108603.44,192896.71,70305.38,76267.93,98391.61,70164.87,113076.45,137865.36,134049.98,107210.59,133224.35,102537.34,110429.91,130154.57,70652.24,95430.59,98809.07,112356.48,119148.69,107012.33,133602.68,156384.71,136719.75,112623.48,122074.70,145975.88,87523.53,103525.29,106601.94,105204.29,114317.64,142402.32,151763.90,194361.35,171098.81,127939.56,129473.51,152391.88,131927.91,109644.45,110648.73,127963.34,111299.33,6269457.91
"Net Ordinary Income",-31556.03,-26236.37,-135.32,-10116.59,141049.34,96611.64,20837.32,23193.74,-9671.13,-13142.52,-35524.57,-139590.09,-33772.11,-30156.77,2732.80,14365.86,58348.30,96807.86,73630.02,52450.76,-41505.03,6150.82,-40725.04,-37832.85,16897.28,-37246.40,33854.35,61603.70,56762.06,139493.52,70557.91,57147.99,-31301.91,40569.79,-13442.70,-48028.49,-40244.61,13851.47,34483.09,56192.19,81668.61,189373.76,113910.09,61169.80,-42271.23,25023.83,17799.25,-2235.87,-75111.67,4154.90,39827.62,-49501.49,44060.38,955231.26
"Other Income/Expense","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Other Income","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"9810 · Interest Income",0.44,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-92.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-91.45
"9820 · Gain/Loss on Sale of Asset",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30000.00
"9850 · Other Non Operating Income",702.76,485.61,-17586.24,158.90,196.20,10.57,4.09,26.79,0.02,0.02,32.04,16343.97,32.00,0.00,290.45,1000.00,0.00,0.00,0.00,0.00,0.00,-770.00,0.00,0.00,0.00,0.00,0.00,0.00,270.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1197.25
"Total Other Income",703.20,485.64,-17586.24,158.90,196.20,10.57,4.09,26.79,0.02,0.02,32.04,16343.97,32.00,30000.00,290.45,1000.00,0.00,0.00,0.03,0.04,0.04,-769.96,0.04,0.04,0.04,0.00,0.00,0.00,270.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.00,-92.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31105.80
"Other Expense","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"9990 · Corp Income Taxes - Fed",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,690.00,0.00,0.00,0.00,0.00,0.00,690.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1380.00
"Total Other Expense",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,690.00,0.00,0.00,0.00,0.00,0.00,690.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1380.00
"Net Other Income",703.20,485.64,-17586.24,158.90,196.20,10.57,4.09,26.79,0.02,0.02,32.04,16343.97,32.00,30000.00,-399.55,1000.00,0.00,0.00,0.03,0.04,-689.96,-769.96,0.04,0.04,0.04,0.00,0.00,0.00,270.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.00,-92.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29725.80
"Net Income",-30852.83,-25750.73,-17721.56,-9957.69,141245.54,96622.21,20841.41,23220.53,-9671.11,-13142.50,-35492.53,-123246.12,-33740.11,-156.77,2333.25,15365.86,58348.30,96807.86,73630.05,52450.80,-42194.99,5380.86,-40725.00,-37832.81,16897.32,-37246.40,33854.35,61603.70,57032.06,139493.52,70557.91,57147.99,-31301.91,40569.79,-13442.70,-48028.49,-40244.61,13851.53,34483.10,56192.19,81576.42,189373.76,113910.09,61169.80,-42271.23,25023.83,17799.25,-2235.87,-75111.67,4154.90,39827.62,-49501.49,44060.38,984957.06
